
ลำดับ,รหัสสถานบริการ,,ชื่อสถานบริการ,,ตำบล/แขวงที่ตั้ง,อำเภอ/เขตที่ตั้ง,,จังหวัดที่ตั้ง,สปสช.เขตที่ตั้ง,,สถานะการขึ้นทะเบียน,,,สังกัดหลัก,สังกัดย่อย
235,24131,,คลินิกกระดูกและข้อแพทย์มณเฑียร,,บ้านสวน,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
236,24132,,คลินิกเวชกรรมแพทย์พิชัย,,เสม็ด,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
237,24134,,คลินิกแพทย์ภาณุพันธ์เวชกรรม,,บางทราย,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
238,24135,,คลินิกแพทย์องอาจ,,เสม็ด,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
239,24136,,คลินิกโรคกระดูกและข้อ,,บ้านบึง,บ้านบึง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
240,24137,,คลินิกแพทย์ธวัชชัย,,บ้านสวน,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
241,24138,,คลินิกประพันธ์การแพทย์,,พนัสนิคม,พนัสนิคม,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
242,24139,,คลินิกเวชกรรมแพทย์วิชัย-แพทย์หญิงอภิสรา,,บ้านบึง,บ้านบึง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
243,24140,,สำนักงานแพทย์,,บางปลาสร้อย,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
244,24141,,คลินิกแพทย์เฉพาะทางด้านเวชกรรมศัลยศาสตร์ออร์โธปิดิกส์และสูติศาสตร์-นรีเวชวิทยาแพทย์สาโรจน์  อมรรัตน์,,บ้านเก่า,พานทอง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
245,24142,,วิชัยคลินิกเวชกรรมเฉพาะทาง,,บ้านบึง,บ้านบึง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
246,24143,,คลินิกแพทย์ทรงพล,,บางปลาสร้อย,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
247,24255,,คลินิกพญาไทเวชกรรม สาขา บ่อวิน,,บ่อวิน,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
248,24256,,คลินิกพญาไทเวชกรรม สาขา สหพัฒน์,,บึง,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
249,24259,,คลินิกเวชกรรเฉพาะทางพัทยาแพทย์เฉพาะทาง,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
