ลำดับ,รหัสสถานบริการ,,ชื่อสถานบริการ,,ตำบล/แขวงที่ตั้ง,อำเภอ/เขตที่ตั้ง,,จังหวัดที่ตั้ง,สปสช.เขตที่ตั้ง,,สถานะการขึ้นทะเบียน,,,สังกัดหลัก,สังกัดย่อย
97,CA0038107,,ดี-แล็ปคลินิกเทคนิคการแพทย์ (ลูกแก),,ดอนขมิ้น,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
98,CA0038108,,ท่าเรือแล็ป คลินิกเทคนิคการแพทย์,,ท่าเรือ,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
99,CA0038053,,วรรณภัทรกายภาพบำบัดคลินิก,,ปากแพรก,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
100,CA0038057,,ศิวิลัยผดุงครรภ์,,ท่าขนุน,ทองผาภูมิ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
101,CA0038058,,กาญจนาพยาบาลและการผดุงครรภ์,,หนองตากยา,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
102,CA0038074,,คลินิกยุพยงค์การพยาบาลและการผดุงครรภ์,,รางหวาย,พนมทวน,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
103,CA0038076,,คลินิกน้ำผึ้งการพยาบาลและการผดุงครรภ์,,หนองบัว,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
104,CA0038081,,สวัสดีคลินิกการพยาบาลและการผดุงครรภ์,,บ้านเก่า,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
105,CA0038083,,คลินิกบ้านรักษ์สุขภาพการพยาบาลและการผดุงครรภ์,,เลาขวัญ,เลาขวัญ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
106,CA0038084,,คลินิกเลาขวัญการพยาบาลและการผดุงครรภ์,,เลาขวัญ,เลาขวัญ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
107,CA0038088,,บ้านไผ่สีคลินิกการพยาบาลและการผดุงครรภ์,,สระลงเรือ,ห้วยกระเจา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
108,CA0038095,,เมืองกาญจน์ทันตคลินิก,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
109,CA0038100,,คลินิกหมอฟัน,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
110,CA0038093,,นายแพทย์ทรงพล-ทันตแพทย์หญิงชื่นฤดีคลินิก,,ท่าเรือ,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
111,CA0038102,,คลินิกทันตแพทย์กาญจน์,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
112,CA0038105,,มณีทันตคลินิก,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
113,CA0038111,,คลินิกแพทย์แผนไทยบ้านท่าพุ,,ด่านมะขามเตี้ย,ด่านมะขามเตี้ย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
114,CA0038115,,วารินทร์ธรคลินิกการแพทย์แผนไทย,,หนองปรือ,หนองปรือ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
